"sciname","calcium_mg","iron_mg","protein_g","fattyacids_g","vitamina_mcg","vitaminb12_mcg","zinc_mg"
"ablennes hians",344.5,0.625,18.6,0.78,47,5.295,2.3
"abramis",16.51178,0.202639,17.95,0.218,41,8.5,0.383096
"abramis brama",16.51178,0.202639,17.95,0.218,41,8.5,0.383096
"acanthistius brasilianus",24,1.1,17.9,0.361,46,0.6,0.4
"acanthocardia spinosa",30,16.2,13.5,0.011,0,33.575,1.55
"acanthocardia tuberculata",30,16.2,13.5,0.011,0,33.575,1.55
"acanthocybium solandri",11,1.1,20.1,1.16,34,4.5,0.6
"acanthopagrus berda",18,0.35,20.2,0.686135,6,2.85,0.7
"acanthopagrus bifasciatus",18,0.35,20.2,0.686135,6,2.85,0.7
"acanthopagrus latus",18,0.35,20.2,0.686135,6,2.85,0.7
"acanthopagrus schlegelii",13,0.3,20.2,0.67,12,3.7,0.8
"acanthostracion polygonius",6,0.2,18.6,0.075,2.5,1.65,0.5
"acanthostracion quadricornis",6,0.2,18.6,0.075,2.5,1.65,0.5
"acanthuridae",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus bahianus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus blochii",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus chirurgus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus coeruleus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus lineatus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus nigrofuscus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus olivaceus",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acanthurus sohal",145.245,3.305,18.6,0.4135,16,2.23,0.56
"acetes erythraeus",61,0.94,18.2,0.170815,10,2.1,1.96
"acetes japonicus",61,0.94,18.2,0.170815,10,2.1,1.96
"acipenser baerii",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser gueldenstaedtii",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser medirostris",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser naccarii",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser nudiventris",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser ruthenus",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser stellatus",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser sturio",13,0.7,16.95,0.287,210,2.2,0.42
"acipenser transmontanus",13,0.7,16.95,0.287,210,2.2,0.42
"acipenseridae",13,0.7,16.95,0.287,210,2.2,0.42
"aequipecten opercularis",25,0.73,14.95,0.15,8.5,1.6,1.605
"aequipecten tehuelchus",25,0.73,14.95,0.15,8.5,1.6,1.605
"aethaloperca rogaa",24,1.1,18.4,0.361,46,0.6,0.4
"aethotaxis mitopteryx",10,0.1,18.3,0.7,1800,0.6,0.3
"aetobatus narinari",7,0.8,18.6,0.037,7,2.525,0.45
"aetomylaeus bovinus",7,0.8,18.6,0.037,7,2.525,0.45
"ageneiosus inermis",20,0.7,17.4,0.07,9,2.4,0.73
"agonus cataphractus",27,0.4,18.3,0.4,20,1.7,0.50485
"agrostichthys parkeri",6,1,18.6,0.4135,16,2.23,0.3
"albula vulpes",23,0.6,18.6,0.4135,16,2.23,0.56
"albulidae",23,0.6,18.6,0.4135,16,2.23,0.56
"alburnus alburnus",53,0.56,17.95,0.218,41,8.5,0.5
"alburnus chalcoides",53,0.56,17.95,0.218,41,8.5,0.5
"alburnus tarichi",53,0.56,17.95,0.218,41,8.5,0.5
"aldrichetta forsteri",53,0.4,20.1,0.486,12,4.9,1.1
"alectis alexandrina",26,1,19.55,1.22,8.5,6.8,0.7
"alectis ciliaris",26,1,19.55,1.22,8.5,6.8,0.7
"alepes djedaba",26,1,19.55,1.22,8.5,6.8,0.7
"alepisaurus",277.63,0.175,18.6,0.169,0,1.7,0.4
"alepisaurus ferox",277.63,0.175,18.6,0.169,0,1.7,0.4
"alepocephalus",23,0.6,18.6,0.4135,16,2.23,0.56
"alepocephalus bairdii",23,0.6,18.6,0.4135,16,2.23,0.56
"alestes",24.6,0.3,18.87,0.00028,16,2.23,0.809
"alestes baremoze",24.6,0.3,18.87,0.00028,16,2.23,0.809
"allocyttus niger",23,3.6,18.6,0.4135,16,2.23,1.6
