"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsunami Event Validity"	"Tsunami Cause Code"	"Earthquake Magnitude"	"Vol"	"More Info"	"Deposits"	"Country"	"Location Name"	"Latitude"	"Longitude"	"Maximum Water Height (m)"	"Number of Runups"	"Tsunami Magnitude (Abe)"	"Tsunami Magnitude (Iida)"	"Tsunami Intensity"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""2000 <= Year >= 2022"",""Region = 81 - E. Australia, New Zealand, South Pacific Is.;80 - Hawaii, Johnston Atoll, Midway I;82 - New Caledonia, New Guinea, Solomon Is., Vanuatu;83 - E. Indonesia and Malaysia;84 - China, North and South Korea, Philippines, Taiwan;85 - Japan;86 - Kamchatka and Kuril Islands;60 - Indian Ocean (including W. Australia and W. Indonesia)""]"																																													
	2000	1	26				-1	9				0	"PHILIPPINES"	"TAWI-TAWI, PHILIPPINES"	5.1	120.15	20	4									3		3	300	3								3		3	300	3		
	2000	5	4	4	21	16.2	4	1	7.6			0	"INDONESIA"	"SULAWESI"	-1.105	123.573	6	2				54	2			264			3		4			54	2			264	3	30	4	23000	4		
	2000	6	18	14	44	13.3	4	1	7.9			0	"AUSTRALIA"	"SOUTH INDIAN OCEAN"	-13.802	97.453	0.3	1																											
	2000	7	1	7	1	55.5	4	1	6.1	5104		1	"JAPAN"	"KOZU-SHIMA ISLAND, HONSHU"	34.221	139.131	0.07	4																1	1				3		1				
	2000	7	15	1	30	30.5	4	1	6.1			0	"JAPAN"	"HONSHU: S COAST"	34.319	139.26	0.07	1																				10	1		1			20	1
	2000	7	30	12	25	45.5	4	1	6.5			0	"JAPAN"	"HONSHU: S COAST"	33.901	139.376	0.14	1																				1	1		1				
	2000	11	16	4	54	55.9	4	1	8			0	"PAPUA NEW GUINEA"	"BISMARCK SEA"	-4.001	152.327	3	9											2					2	1						2		3		
	2001	12	18	4	2	58.2	4	1	6.8			0	"TAIWAN"	"TAIWAN"	23.954	122.734	0.16	6																											
	2002	1	2	17	22	48.7	4	1	7.2			0	"VANUATU"	"VANUATU ISLANDS"	-17.6	167.856	3	2		-4.64	-4.14																		2		1				2
