"importer_iso3c","exporter_iso3c","year","total_weight_t","protein_sum","fattyacids_sum","calcium_sum","zinc_sum","iron_sum","vita_sum","vitb12_sum","protein_norm","fattyacids_norm","calcium_norm","zinc_norm","iron_norm","vita_norm","vitb12_norm","shannon_diversity","norm_sum"
"AUS","FJI",2000,20.5027419667049,4158415.33610658,112285.401941677,1599935.81125065,105417.451058578,191431.969471212,3913595.78333841,294294.553856612,83168.3067221317,80203.8585297692,1230.71985480819,9583.4046416889,10635.1094150674,4348.43975926489,122622.730773588,1.37247500108998,311792.569696319
"AUS","FJI",2001,4.01020404642066,780904.935548375,26426.0139332732,340743.054891229,20659.3408908186,38801.0992686935,778483.197197835,48888.5856048546,15618.0987109675,18875.7242380523,262.110042224022,1878.12189916533,2155.61662603853,864.981330219817,20370.2440020228,1.39354302184796,60024.8968486902
"AUS","FJI",2002,1.31680435800586,287156.089889088,4623.51941255046,82855.3868602628,6388.26768668267,12226.4163574333,217148.023935782,25581.194999774,5743.12179778176,3302.51386610747,63.7349129694329,580.751607880243,679.245353190737,241.275582150869,10658.8312499058,1.26547655095957,21269.4743699864
"AUS","FJI",2003,0.520963524435628,104500.862918392,2975.24039379343,41303.9764975097,2604.81762217814,4697.93015056212,101401.334536277,5572.79021313478,2090.01725836784,2125.17170985245,31.772289613469,236.801602016194,260.996119475673,112.668149484752,2321.99592213949,1.40688384543155,7179.42305094987
"AUS","FJI",2004,9.65753126340942,1962780.13500593,52970.3553743029,740212.371122091,48325.7143331943,92809.3476931398,1745884.3366976,144291.197711691,39255.6027001186,37835.968124502,569.394131632377,4393.24675756312,5156.0748718411,1939.87148521956,60121.3323798713,1.36312551472285,149271.490450748
"AUS","FJI",2005,0.343996681679335,80839.2201946437,533.337722794497,15743.364536927,1574.3364536927,3566.35026356589,40072.3594966846,10679.7872827663,1616.78440389287,380.955516281784,12.1102804130208,143.121495790246,198.130570198105,44.5248438852051,4449.91136781928,1.00893668252683,6845.53847828051
"AUS","FJI",2006,0.190420827470454,44748.8944555567,190.420827470454,9521.0413735227,952.10413735227,1466.2403715225,34275.7489446817,3960.75321138544,894.977889111134,136.01487676461,7.32387797963285,86.5549215774791,81.4577984179167,38.0841654940908,1650.31383807727,1.1044958255788,2894.72736742213
"AUS","FJI",2009,2.73868838919164,609863.177170824,9329.43341348244,179791.259993482,16987.1085202538,33421.5841065129,411643.758324059,124969.390034395,12197.2635434165,6663.88100963031,138.300969225756,1544.28259275034,1856.75467258405,457.381953693399,52070.5791809979,0.978012040908164,74928.4439222982
"AUS","FJI",2010,0.487512026041438,97989.9172343291,3612.46411296706,46313.6424739366,4143.85222135223,9262.72849478732,60939.0032551798,41438.5222135223,1959.79834468658,2580.33150926218,35.6258788261051,376.713838304748,514.596027488184,67.7100036168665,17266.0509223009,0.848794521157559,22800.8265244856
"AUS","FJI",2012,0.949994762352281,206823.483704398,3979.5377571863,55473.4984179087,4149.45320788547,11727.2929597884,87910.4498115479,29469.7462837513,4136.46967408796,2842.52696941879,42.6719218599298,377.223018898679,651.516275543797,97.6782775683865,12279.0609515631,1.12582255070054,20427.1470889406
"AUS","FJI",2013,43.5647338374013,8782981.72460924,248831.16332539,3369442.88250914,213137.417852609,420684.92563393,7757748.74256417,592420.043236212,175659.634492185,177736.545232421,2591.87914039165,19376.1288956917,23371.3847574406,8619.7208250713,246841.684681755,1.37707883367416,654196.978024957
"AUS","FJI",2014,4.59985261037413,958832.343135906,21667.7535157267,331273.538646753,22733.0542645039,41773.4152803685,840013.649763188,66258.8533294659,19176.6468627181,15476.9667969477,254.825798959041,2066.64129677309,2320.74529335381,933.348499736875,27607.8555539441,1.36194629349603,67837.0301024327
"AUS","FJI",2015,1.86691094173997,357027.228366374,13219.7098151475,161587.972714833,9205.87446786458,18314.7150302886,351506.547405995,17958.2257439211,7140.54456732749,9442.64986796249,124.298440549871,836.89767889678,1017.48416834937,390.562830451105,7482.59405996711,1.40068581770929,26435.0316135042
"AUS","FJI",2016,1.73991968766697,327104.90128139,12936.3028778039,156592.771890027,8699.59843833485,16529.2370328362,347983.937533394,12179.4378136688,6542.0980256278,9240.2163412885,120.455978376944,790.872585303168,918.290946268678,386.648819481549,5074.76575569533,1.3968142177516,23073.348452042
"AUS","FJI",2017,3.72719878397407,706160.585761314,27116.5858139225,329652.981648955,18520.0957416961,35929.9302495377,725737.066505193,30494.5222584396,14123.2117152263,19368.9898670875,253.579216653042,1683.64506742691,1996.10723608543,806.374518339103,12706.0509410165,1.40137068193867,50937.9585618347
"AUS","FJI",2018,3.52683369563021,679173.902252506,24459.8111870293,300256.343804564,17290.994702108,35049.2021006809,647027.197198715,37728.4393590494,13583.4780450501,17471.293705021,230.966418311203,1571.90860928255,1947.17789448227,718.919107998572,15720.1830662706,1.39666634169697,51243.9268464163
"AUS","FJI",2019,4.18137300774688,817671.242660765,27370.3990561451,344801.134752975,20441.6952489356,41444.4300372466,753063.764056424,49797.1245933183,16353.4248532153,19550.2850401036,265.231642117673,1858.33593172142,2302.46833540259,836.737515618249,20748.8019138826,1.39118273718439,61915.2852320615
"AUS","FJI",2020,3.31468205754754,691905.296762731,15503.3069922655,237731.328578165,16365.0488781619,30169.3665142881,602428.978820465,48429.8431789141,13838.1059352546,11073.7907087611,182.870252752435,1487.73171619654,1676.07591746045,669.365532022739,20179.1013245476,1.35883146872406,49107.0413869954
"AUS","SLB",2000,86.3013270893925,20134519.1982906,122244.878891112,4317156.08510826,419265.168705157,747244.156974252,13760271.0638481,2048357.08128152,402690.383965812,87317.7706365084,3320.88929623713,38115.0153368324,41513.5642763473,15289.1900709423,853482.117200632,1.09682845078654,1441728.93078331
"AUS","SLB",2001,2.95331173002027,694028.256554763,2953.31173002027,147665.586501013,14766.5586501013,22740.5003211561,531596.111403649,61428.8839844216,13880.5651310953,2109.50837858591,113.588912693087,1342.41442273648,1263.36112895312,590.662346004054,25595.3683268423,1.10449582557879,44895.4686469102
"AUS","SLB",2003,41.3450813742205,9239137.9939451,130691.027966591,2693262.43556085,254678.411225081,473602.964627781,6693302.30580367,1736305.74091228,184782.759878902,93350.7342618509,2071.74033504681,23152.5828386437,26311.2758126545,7437.00256200408,723460.725380117,1.00144360559514,1060566.82106922
"AUS","SLB",2009,0.778338308490279,176407.38151459,2004.17935219056,47522.6637812242,4561.02752575108,8154.20400717128,129582.758647826,28466.9711388378,3528.1476302918,1431.55668013611,36.5558952163263,414.638865977371,453.011333731738,143.980842942029,11861.2379745158,1.02656831787293,17869.1292228111
"AUS","SLB",2011,0.94976092817469,223193.818121052,949.76092817469,47488.0464087345,4748.80464087345,7313.15914694511,170956.967071444,19755.0273060336,4463.87636242104,678.400662981921,36.5292664682573,431.709512806677,406.286619274728,189.952185634938,8231.261377514,1.10449582557879,14438.0159871016
"AUS","SLB",2013,0.265852486101193,58647.9064908801,987.435187042109,18358.3374941924,1723.26234521629,3319.12101047253,41662.0202670525,12756.8158607343,1172.9581298176,705.310847887221,14.1217980724557,156.660213201481,184.395611692918,46.2911336300583,5315.33994197261,0.972063758516598,7595.07767627435
"AUS","SLB",2014,0.885375415188195,190328.672125708,3894.98062145594,64684.728807039,5586.59632990462,10809.364832096,143896.055991352,37789.0509729826,3806.57344251416,2782.12901532567,49.7574836977223,507.872393627692,600.520268449779,159.884506657058,15745.4379054094,1.03910835286932,23652.1750156815
"AUS","SLB",2015,31.4281420886087,6815613.10656007,132126.831709088,2230713.30640359,196882.411303567,391230.469199928,4853351.50384368,1397488.98206072,136312.262131201,94376.3083636345,1715.93331261815,17898.401027597,21735.0260666626,5392.61278204854,582287.075858632,1.01624209462855,859717.619542394
"AUS","SLB",2016,1.28100527773306,281948.93304688,4879.52408016511,89312.8763842258,8369.89624958763,16207.4633323795,199704.423606028,62686.2369400517,5638.9786609376,3485.37434297508,68.7022126032506,760.899659053421,900.414629576639,221.893804006698,26119.2653916882,0.967921076592452,37195.5287008409
"AUS","SLB",2017,56.9416691065792,11796720.22294,351475.920647432,4902666.99557957,438922.701595162,940976.594543078,7838426.69180651,3994274.38427527,235934.4044588,251054.22903388,3771.28230429198,39902.0637813784,52276.4774746155,8709.36299089612,1664280.99344803,0.895618920155838,2255928.81349189
"AUS","SLB",2018,44.7584702464181,9004894.0660389,326181.0333392,4192978.0708318,369803.623941432,824834.128589769,5706943.67442152,3606891.12385349,180097.881320778,232986.452385143,3225.36774679369,33618.5112674029,45824.1182549872,6341.04852713502,1502871.30160562,0.86611812496295,2004964.68110786
"AUS","SLB",2020,0.215863631079022,47197.0085259191,881.550572983236,15466.4908184893,1442.79776485919,2835.6698412925,33143.6311597884,11157.2180771848,943.940170518382,629.678980702311,11.8973006296071,131.163433169017,157.537213405139,36.8262568442093,4648.84086549365,0.956277374236224,6559.88422076232
"AUS","VUT",2000,20.605000022922,4141605.00460732,152683.050169852,1957475.00217759,175142.500194837,391495.000435518,2575625.00286525,1751425.00194837,82832.1000921464,109059.321549894,1505.75000167507,15922.0454722579,21749.7222464177,2861.80555873917,729760.417478487,0.848794521157559,963691.162399618
