"sciname","total_weight"
"thunnus alalunga",28637049.7284831
"katsuwonus pelamis",22174457.5167593
"thunnus albacares",15693166.0655866
"thunnus obesus",2865526.22413395
"auxis",258269.103066887
"euthynnus affinis",126491.075357131
"thunnus tonggol",101230.642212536
"auxis thazard",65993.9337299468
"xiphias gladius",65493.2261608999
"scomberomorus",28535.726758815
"makaira nigricans",25741.4913163231
"scomberomorus commerson",23176.7971176233
"acanthocybium solandri",17270.8286602906
"thunnus orientalis",13718.2953702152
"euthynnus alletteratus",9741.70156829141
"kajikia audax",6175.28852461385
"istiompax indica",4896.98397823109
"thunnus thynnus",3270.36684433575
"auxis rochei",2981.02212394082
"scomberomorus niphonius",2328.38307462034
"allothunnus fallai",2326.49919703128
"thunnus maccoyii",1378.12474977328
"istiophorus platypterus",779.089578072795
"thunnus atlanticus",570.138913048832
"scomberomorus guttatus",438.356086313573
"euthynnus lineatus",437.426316608945
"sarda chiliensis",159.868795879514
"scomberomorus semifasciatus",29.4139141405826
"sarda orientalis",15.2767730151742
"istiophoridae",13.0971767258403
"scomberomorus sierra",9.62944365103289
"scomberomorus cavalla",6.24739756252734
"sarda sarda",3.82486866069764
"scomberomorus maculatus",3.79690796980884
"gymnosarda unicolor",1.22068830581983
"istiophorus albicans",1.17027313301466
"gasterochisma melampus",0.836102992505522
"thunnus",0.73751282196799
"kajikia albida",0.476543933638355
"scomberomorus tritor",0.288160674926525
"tetrapturus angustirostris",0.270534113395155
