"Country","Year","Maximum Water Height (m)","Earthquake Magnitude","Latitude","Longitude","COUNTRY"
"AUSTRALIA",2000,0.3,7.9,-13.802,97.453,"AUS"
"AUSTRALIA",2004,0.3,8.1,-49.312,161.345,"AUS"
"CHINA",2003,39,NA,30.97,110.605,"CHN"
"CHINA",2007,50,NA,30.394,110.16,"CHN"
"CHINA",2008,NA,7.9,30.98,103.396,"CHN"
"CHINA",2008,13.1,NA,31.065,109.92,"CHN"
"CHINA",2009,30,NA,24.75,100,"CHN"
"CHINA",2012,NA,NA,31.256,110.733,"CHN"
"CHINA",2015,6.2,NA,31.077,109.896,"CHN"
"COOK ISLANDS",2010,NA,NA,-21.955,-157.92,"COK"
"EAST CHINA SEA",2009,1.45,NA,NA,NA,"CHN"
"FIJI",2017,0.01,6.9,-19.373,176.052,"FJI"
"FIJI",2018,NA,8.2,-18.113,-178.153,"FJI"
"INDIA",2002,NA,6.5,13.036,93.068,"IND"
"INDIA",2009,0.01,7.5,14.099,92.888,"IND"
"INDIA",2010,0.03,7.5,7.881,91.936,"IND"
"INDONESIA",2000,6,7.6,-1.105,123.573,"IDN"
"INDONESIA",2002,5,7.6,-1.757,134.297,"IDN"
"INDONESIA",2004,NA,6.7,-3.12,127.4,"IDN"
"INDONESIA",2004,2,7.5,-8.152,124.868,"IDN"
"INDONESIA",2004,50.9,9.1,3.295,95.982,"IDN"
"INDONESIA",2005,4.2,8.6,2.085,97.108,"IDN"
"INDONESIA",2005,0.4,6.7,-1.644,99.607,"IDN"
"INDONESIA",2006,3.5,6.7,-3.595,127.214,"IDN"
"INDONESIA",2006,20.9,7.7,-9.254,107.411,"IDN"
"INDONESIA",2007,5,8.4,-4.438,101.367,"IDN"
"INDONESIA",2008,0.12,6.5,-2.486,99.972,"IDN"
"INDONESIA",2008,0.13,7.3,1.271,122.091,"IDN"
"INDONESIA",2009,0.39,7.6,-0.414,132.885,"IDN"
"INDONESIA",2009,NA,7.3,-0.691,133.305,"IDN"
"INDONESIA",2009,0.13,7.2,3.884,126.397,"IDN"
"INDONESIA",2009,0.18,6.7,-1.479,99.49,"IDN"
"INDONESIA",2009,0.4,7,-7.782,107.297,"IDN"
"INDONESIA",2009,0.27,7.5,-0.72,99.867,"IDN"
"INDONESIA",2010,0.44,7.8,2.383,97.048,"IDN"
"INDONESIA",2010,16.9,7.8,-3.487,100.082,"IDN"
"INDONESIA",2012,1.08,8.6,2.327,93.063,"IDN"
"INDONESIA",2012,NA,8.2,0.802,92.463,"IDN"
"INDONESIA",2014,0.09,7.1,1.893,126.522,"IDN"
"INDONESIA",2016,0.21,7.8,-4.952,94.33,"IDN"
"INDONESIA",2018,2.5,6.4,-8.24,116.508,"IDN"
"INDONESIA",2018,2,6.9,-8.258,116.438,"IDN"
"INDONESIA",2018,NA,6.3,-8.337,116.599,"IDN"
"INDONESIA",2018,10.73,7.5,-0.256,119.846,"IDN"
"INDONESIA",2018,85,NA,-6.102,105.423,"IDN"
"INDONESIA",2019,NA,6.9,-7.282,104.791,"IDN"
"INDONESIA",2019,0.11,7.1,1.6,126.416,"IDN"
"INDONESIA",2020,3,NA,-8.058,114.242,"IDN"
"INDONESIA",2021,0.51,5.8,-3.593,129.503,"IDN"
"INDONESIA",2021,0.07,7.3,-7.603,122.2,"IDN"
"JAPAN",2000,0.07,6.1,34.221,139.131,"JPN"
"JAPAN",2000,0.07,6.1,34.319,139.26,"JPN"
"JAPAN",2000,0.14,6.5,33.901,139.376,"JPN"
"JAPAN",2002,0.05,6.4,23.346,124.09,"JPN"
"JAPAN",2003,4.4,8.3,41.815,143.91,"JPN"
"JAPAN",2003,0.32,7,37.812,142.619,"JPN"
"JAPAN",2004,0.63,7.2,33.07,136.618,"JPN"
"JAPAN",2004,0.93,7.4,33.184,137.071,"JPN"
"JAPAN",2004,0.12,7,43.006,145.119,"JPN"
"JAPAN",2005,0.39,6.6,34.064,141.491,"JPN"
"JAPAN",2005,0.05,7.2,38.276,142.039,"JPN"
"JAPAN",2005,0.42,7,38.107,144.896,"JPN"
"JAPAN",2006,NA,5.6,31.394,140.131,"JPN"
"JAPAN",2006,0.16,6.4,29.351,140.27,"JPN"
"JAPAN",2007,0.1,6.7,37.336,136.588,"JPN"
"JAPAN",2007,NA,6.6,37.57,138.478,"JPN"
"JAPAN",2008,2.5,6.9,39.03,140.881,"JPN"
"JAPAN",2008,0.2,6.9,37.552,142.214,"JPN"
"JAPAN",2008,0.09,6.8,41.892,143.754,"JPN"
"JAPAN",2009,0.6,6.4,34.743,138.264,"JPN"
"JAPAN",2010,0.1,7,25.93,128.425,"JPN"
"JAPAN",2010,0.13,7.4,26.901,143.698,"JPN"
"JAPAN",2011,0.6,7.5,38.435,142.842,"JPN"
"JAPAN",2011,39.26,9.1,38.297,142.373,"JPN"
"JAPAN",2011,0.08,7.1,38.276,141.588,"JPN"
"JAPAN",2011,0.09,7,38.034,143.264,"JPN"
"JAPAN",2012,0.2,6.9,40.887,144.944,"JPN"
"JAPAN",2012,1,7.2,37.89,143.949,"JPN"
"JAPAN",2013,0.4,7.1,37.156,144.661,"JPN"
"JAPAN",2014,0.2,6.5,37.005,142.453,"JPN"
"JAPAN",2015,0.27,6.7,39.856,142.881,"JPN"
"JAPAN",2015,0.6,5.7,31.529,140.213,"JPN"
"JAPAN",2015,0.3,6.7,31.001,128.873,"JPN"
"JAPAN",2016,0.01,6,40.394,143.68,"JPN"
"JAPAN",2016,1.44,6.9,37.393,141.387,"JPN"
"JAPAN",2018,0.15,5.4,31.444,140.193,"JPN"
"JAPAN",2019,2.9,NA,NA,NA,"JPN"
"JAPAN",2019,0.11,6.4,38.646,139.472,"JPN"
"JAPAN",2021,0.1,7.1,37.745,141.749,"JPN"
"JAPAN",2022,0.31,7.3,37.702,141.587,"JPN"
"KERMADEC ISLANDS",2007,0.03,7.8,-25.996,-177.514,"NZL"
"KERMADEC ISLANDS",2017,0.5,NA,-30,-179,"NZL"
"NEW CALEDONIA",2003,0.15,7.3,-22.015,169.766,"NCL"
"NEW CALEDONIA",2008,0.16,7.3,-20.071,168.892,"NCL"
"NEW CALEDONIA",2011,0.03,6.8,-20.244,168.226,"NCL"
"NEW CALEDONIA",2016,0.19,7.2,-22.477,173.117,"NCL"
"NEW CALEDONIA",2017,0.15,6.7,-21.697,169.149,"NCL"
"NEW CALEDONIA",2017,0.1,6.6,-21.648,168.859,"NCL"
"NEW CALEDONIA",2017,0.05,6.3,-21.638,168.673,"NCL"
"NEW CALEDONIA",2017,0.08,6.6,-21.503,168.598,"NCL"
"NEW CALEDONIA",2017,0.37,7,-21.325,168.672,"NCL"
"NEW CALEDONIA",2018,0.27,7.1,-22.03,170.126,"NCL"
"NEW CALEDONIA",2018,0.05,6.5,-21.743,169.522,"NCL"
"NEW CALEDONIA",2018,2,7.5,-21.95,169.427,"NCL"
"NEW CALEDONIA",2021,0.78,7.7,-23.054,171.601,"NCL"
"NEW CALEDONIA",2022,0.07,6.9,-22.716,170.286,"NCL"
"NEW CALEDONIA",2022,0.05,7,-22.579,170.354,"NCL"
"NEW ZEALAND",2002,NA,NA,-44.7,169.2,"NZL"
"NEW ZEALAND",2003,4,7.2,-45.104,167.144,"NZL"
"NEW ZEALAND",2004,NA,7.1,-46.676,164.721,"NZL"
"NEW ZEALAND",2007,0.35,7.4,-49.418,163.954,"NZL"
"NEW ZEALAND",2009,0.47,7.8,-45.762,166.562,"NZL"
"NEW ZEALAND",2011,3.5,6.1,-43.583,172.68,"NZL"
"NEW ZEALAND",2011,1.2,7.6,-29.539,-176.34,"NZL"
"NEW ZEALAND",2011,0.14,7.4,-28.993,-176.238,"NZL"
"NEW ZEALAND",2013,0.07,6.5,-41.704,174.337,"NZL"
